Season,Name,Age,Tm,eFG%,AST,ORB,DRB,PTS
1997-98,Chauncey Billups,21,TOT,0.445,3.9,0.8,1.6,11.2
1997-98,Chauncey Billups,21,BOS,0.46,4.3,0.8,1.4,11.1
1997-98,Chauncey Billups,21,TOR,0.422,3.3,0.8,1.9,11.3
1998-99,Chauncey Billups,22,DEN,0.472,3.8,0.5,1.6,13.9
1999-00,Chauncey Billups,23,DEN,0.371,3,0.6,2,8.6
2000-01,Chauncey Billups,24,MIN,0.485,3.4,0.4,1.6,9.3
2001-02,Chauncey Billups,25,MIN,0.498,5.5,0.4,2.3,12.5
2002-03,Chauncey Billups,26,DET,0.506,3.9,0.5,3.2,16.2
2003-04,Chauncey Billups,27,DET,0.459,5.7,0.4,3.1,16.9
2004-05,Chauncey Billups,28,DET,0.533,5.8,0.6,2.8,16.5
2005-06,Chauncey Billups,29,DET,0.509,8.6,0.5,2.6,18.5
2006-07,Chauncey Billups,30,DET,0.494,7.2,0.3,3.1,17
2007-08,Chauncey Billups,31,DET,0.526,6.8,0.5,2.2,17
2008-09,Chauncey Billups,32,TOT,0.501,6.4,0.4,2.6,17.7
2008-09,Chauncey Billups,32,DET,0.381,7.5,0.5,4.5,12.5
2008-09,Chauncey Billups,32,DEN,0.504,6.4,0.4,2.6,17.9
2009-10,Chauncey Billups,33,DEN,0.499,5.6,0.3,2.8,19.5
2010-11,Chauncey Billups,34,TOT,0.519,5.4,0.3,2.3,16.8
2010-11,Chauncey Billups,34,DEN,0.536,5.3,0.2,2.2,16.5
2010-11,Chauncey Billups,34,NYK,0.483,5.5,0.6,2.5,17.5
2011-12,Chauncey Billups,35,LAC,0.469,4,0.2,2.3,15
2012-13,Chauncey Billups,36,LAC,0.527,2.2,0.1,1.4,8.4
2013-14,Chauncey Billups,37,DET,0.392,2.2,0.2,1.3,3.8
Career,Chauncey Billups,,,0.495,5.4,0.5,2.4,15.2
2010-11,Eric Bledsoe,21,LAC,0.457,3.6,0.8,1.9,6.7
2011-12,Eric Bledsoe,22,LAC,0.413,1.7,0.6,1.1,3.3
2012-13,Eric Bledsoe,23,LAC,0.473,3.1,1,1.9,8.5
2013-14,Eric Bledsoe,24,PHO,0.522,5.5,0.6,4.1,17.7
2014-15,Eric Bledsoe,25,PHO,0.489,6.1,0.9,4.3,17
2015-16,Eric Bledsoe,26,PHO,0.502,6.1,0.6,3.5,20.4
2016-17,Eric Bledsoe,27,PHO,0.485,6.3,0.8,4.1,21.1
2017-18,Eric Bledsoe,28,TOT,0.536,5,0.7,3.1,17.7
2017-18,Eric Bledsoe,28,PHO,0.45,3,1,1.3,15.7
2017-18,Eric Bledsoe,28,MIL,0.54,5.1,0.7,3.2,17.8
2018-19,Eric Bledsoe,29,MIL,0.548,5.5,1.1,3.6,15.9
2019-20,Eric Bledsoe,30,MIL,0.535,5.4,0.7,3.9,15.4
Career,Eric Bledsoe,,,0.506,4.8,0.8,3.2,14.2
2002-03,Caron Butler,22,MIA,0.432,2.7,1.7,3.4,15.4
