,Season,Name,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1997-98,Chauncey Billups,21,TOT,NBA,PG,80,70,27.7,3.5,9.4,0.374,1.3,4.1,0.329,2.2,5.3,0.408,0.445,2.8,3.3,0.85,0.8,1.6,2.4,3.9,1.3,0.1,2.2,2.2,11.2
1,1997-98,Chauncey Billups,21,BOS,NBA,PG,51,44,25.4,3.5,8.9,0.39,1.3,3.7,0.339,2.2,5.2,0.426,0.46,2.9,3.5,0.817,0.8,1.4,2.2,4.3,1.5,0,2.3,2.3,11.1
2,1997-98,Chauncey Billups,21,TOR,NBA,PG,29,26,31.7,3.6,10.2,0.349,1.5,4.7,0.316,2.1,5.5,0.377,0.422,2.7,3,0.919,0.8,1.9,2.7,3.3,1,0.1,1.9,1.9,11.3
3,1998-99,Chauncey Billups,22,DEN,NBA,SG,45,41,33.1,4.2,11,0.386,1.9,5.2,0.362,2.4,5.8,0.408,0.472,3.5,3.8,0.913,0.5,1.6,2.1,3.8,1.3,0.3,2.2,2.6,13.9
4,1999-00,Chauncey Billups,23,DEN,NBA,SG,13,5,23.5,2.6,7.8,0.337,0.5,3.2,0.171,2.1,4.6,0.45,0.371,2.8,3.4,0.841,0.6,2,2.6,3,0.8,0.2,1.8,2.1,8.6
5,2000-01,Chauncey Billups,24,MIN,NBA,SG,77,33,23.2,3.2,7.6,0.422,0.9,2.5,0.376,2.3,5.1,0.445,0.485,1.9,2.2,0.842,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3
6,2001-02,Chauncey Billups,25,MIN,NBA,PG,82,54,28.7,4.2,10,0.423,1.5,3.8,0.394,2.7,6.2,0.441,0.498,2.5,2.9,0.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5
7,2002-03,Chauncey Billups,26,DET,NBA,PG,74,74,31.4,4.9,11.8,0.421,2,5.1,0.392,2.9,6.6,0.443,0.506,4.3,4.9,0.878,0.5,3.2,3.7,3.9,0.9,0.2,1.8,1.8,16.2
8,2003-04,Chauncey Billups,27,DET,NBA,PG,78,78,35.4,5,12.8,0.394,1.7,4.3,0.388,3.4,8.5,0.396,0.459,5.2,5.9,0.878,0.4,3.1,3.5,5.7,1.1,0.1,2.4,2.3,16.9
9,2004-05,Chauncey Billups,28,DET,NBA,PG,80,80,35.8,5.1,11.4,0.442,2.1,4.8,0.426,3,6.6,0.454,0.533,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1,0.1,2.3,2.4,16.5
10,2005-06,Chauncey Billups,29,DET,NBA,PG,81,81,36.1,5.2,12.5,0.418,2.3,5.2,0.433,3,7.2,0.407,0.509,5.7,6.4,0.894,0.5,2.6,3.1,8.6,0.9,0.1,2.1,2,18.5
11,2006-07,Chauncey Billups,30,DET,NBA,PG,70,70,36.2,5,11.6,0.427,1.6,4.5,0.345,3.4,7.1,0.479,0.494,5.5,6.2,0.883,0.3,3.1,3.4,7.2,1.2,0.2,2,2.3,17
12,2007-08,Chauncey Billups,31,DET,NBA,PG,78,78,32.3,5,11.2,0.448,1.8,4.4,0.401,3.3,6.9,0.479,0.526,5.1,5.6,0.918,0.5,2.2,2.7,6.8,1.3,0.2,2.1,1.7,17
13,2008-09,Chauncey Billups,32,TOT,NBA,PG,79,79,35.3,5.2,12.4,0.418,2.1,5,0.408,3.1,7.4,0.425,0.501,5.3,5.8,0.913,0.4,2.6,3,6.4,1.2,0.2,2.2,2,17.7
14,2008-09,Chauncey Billups,32,DET,NBA,PG,2,2,35,3.5,10.5,0.333,1,3.5,0.286,2.5,7,0.357,0.381,4.5,5,0.9,0.5,4.5,5,7.5,1.5,0.5,2,1.5,12.5
15,2008-09,Chauncey Billups,32,DEN,NBA,PG,77,77,35.3,5.2,12.5,0.42,2.1,5.1,0.41,3.2,7.4,0.427,0.504,5.3,5.8,0.913,0.4,2.6,3,6.4,1.2,0.2,2.2,2.1,17.9
16,2009-10,Chauncey Billups,33,DEN,NBA,PG,73,73,34.1,5.5,13.2,0.418,2.2,5.6,0.386,3.4,7.6,0.441,0.499,6.4,7,0.91,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5
17,2010-11,Chauncey Billups,34,TOT,NBA,PG,72,72,32.1,4.7,11,0.427,2,5,0.402,2.7,6,0.448,0.519,5.3,5.8,0.916,0.3,2.3,2.6,5.4,1,0.2,2.5,2,16.8
18,2010-11,Chauncey Billups,34,DEN,NBA,PG,51,51,32.3,4.6,10.5,0.438,2.1,4.7,0.441,2.5,5.8,0.436,0.536,5.2,5.6,0.923,0.2,2.2,2.5,5.3,1,0.2,2.5,1.8,16.5
19,2010-11,Chauncey Billups,34,NYK,NBA,PG,21,21,31.6,5,12.3,0.403,2,6,0.328,3,6.3,0.474,0.483,5.7,6.3,0.902,0.6,2.5,3.1,5.5,0.9,0.1,2.3,2.5,17.5
20,2011-12,Chauncey Billups,35,LAC,NBA,SG,20,20,30.4,4.2,11.4,0.364,2.4,6.3,0.384,1.8,5.2,0.34,0.469,4.3,4.8,0.895,0.2,2.3,2.5,4,0.5,0.2,1.9,2,15
21,2012-13,Chauncey Billups,36,LAC,NBA,SG,22,22,19,2.4,6,0.402,1.5,4.1,0.367,0.9,1.9,0.476,0.527,2,2.2,0.938,0.1,1.4,1.5,2.2,0.5,0,1.2,1.1,8.4
22,2013-14,Chauncey Billups,37,DET,NBA,SG,19,7,16.3,1.3,4.2,0.304,0.7,2.5,0.292,0.5,1.6,0.323,0.392,0.5,0.6,0.833,0.2,1.3,1.5,2.2,0.4,0.1,1.3,1.3,3.8
23,Career,Chauncey Billups,,,NBA,,1043,937,31.6,4.5,10.9,0.415,1.8,4.5,0.387,2.8,6.4,0.435,0.495,4.3,4.8,0.894,0.5,2.4,2.9,5.4,1,0.2,2,2.1,15.2
